2018 Nov 27 07:15:00 AM,30,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,"$501 - $1,500",UNABLE TO DETERMINE,701,N,CARPENTER ST,41.89442788,-87.65340541,POINT (-87.653405411275 41.894427880413)
2018 Nov 26 08:10:00 AM,30,SNOW,DAYLIGHT,ANGLE,"OVER $1,500",WEATHER,1130,W,GRAND AVE,41.89120814,-87.65573434,POINT (-87.655734342734 41.891208139797)
2018 Nov 24 07:50:00 PM,30,CLEAR,DUSK,ANGLE,"OVER $1,500",UNABLE TO DETERMINE,1100,W,GRAND AVE,41.89121804,-87.65468948,POINT (-87.654689477402 41.891218042423)
2018 Nov 24 04:30:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,"$501 - $1,500",UNABLE TO DETERMINE,776,N,MILWAUKEE AVE,41.89579624,-87.6549536,POINT (-87.654953595644 41.895796244484)
2018 Nov 20 04:56:00 PM,30,CLEAR,DARKNESS,ANGLE,"OVER $1,500",UNABLE TO DETERMINE,599,N,GREEN ST,41.89190342,-87.64864017,POINT (-87.648640168108 41.891903414995)
2018 Nov 20 02:59:00 PM,30,CLEAR,DAYLIGHT,REAR END,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,504,N,MILWAUKEE AVE,41.89125752,-87.64793065,POINT (-87.647930647314 41.891257523199)
2018 Nov 20 01:05:00 PM,30,CLEAR,DAYLIGHT,ANGLE,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,761,N,MILWAUKEE AVE,41.89568793,-87.65433453,POINT (-87.654334529019 41.895687930682)
2018 Nov 20 07:00:00 AM,15,CLOUDY/OVERCAST,DAWN,PARKED MOTOR VEHICLE,"OVER $1,500",UNABLE TO DETERMINE,1170,W,ERIE ST,41.89339094,-87.65705735,POINT (-87.657057350307 41.893390935737)
2018 Nov 19 12:41:00 PM,30,CLEAR,DAYLIGHT,REAR END,"$501 - $1,500",UNABLE TO DETERMINE,776,N,MILWAUKEE AVE,41.89579624,-87.6549536,POINT (-87.654953595644 41.895796244484)
2018 Nov 17 06:45:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,1200,W,GRAND AVE,41.89118941,-87.65747031,POINT (-87.657470309402 41.891189414133)
2018 Nov 13 08:38:00 AM,30,CLEAR,DAYLIGHT,TURNING,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,660,N,MORGAN ST,41.89401286,-87.65232466,POINT (-87.652324661039 41.894012858621)
2018 Nov 12 10:00:00 AM,30,CLEAR,DAYLIGHT,REAR END,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,698,N,RACINE AVE,41.89436046,-87.65761083,POINT (-87.657610834265 41.894360459971)
2018 Nov 12 08:00:00 AM,30,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,"OVER $1,500",UNABLE TO DETERMINE,664,N,SANGAMON ST,41.89401888,-87.65126806,POINT (-87.651268061938 41.894018883093)
2018 Nov 10 03:35:00 AM,35,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,"$501 - $1,500",NOT APPLICABLE,752,N,OGDEN AVE,41.89558431,-87.65538895,POINT (-87.655388951695 41.89558430998)
2018 Nov 06 06:23:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,"$501 - $1,500",NOT APPLICABLE,635,N,OGDEN AVE,41.89333047,-87.65691273,POINT (-87.656912732191 41.893330473386)
2018 Nov 06 06:15:00 AM,30,RAIN,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,766,N,OGDEN AVE,41.89596155,-87.65506539,POINT (-87.655065390467 41.895961548466)
2018 Nov 05 04:50:00 PM,30,RAIN,DAYLIGHT,PEDALCYCLIST,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,800,W,ERIE ST,41.8934848,-87.64773384,POINT (-87.64773384213 41.893484795116)
2018 Nov 05 03:48:00 PM,30,CLEAR,DUSK,REAR END,"$501 - $1,500",FOLLOWING TOO CLOSELY,544,N,MILWAUKEE AVE,41.89208581,-87.64917922,POINT (-87.649179215604 41.892085807376)
2018 Nov 01 08:30:00 AM,30,UNKNOWN,UNKNOWN,PEDALCYCLIST,$500 OR LESS,UNABLE TO DETERMINE,644,N,HALSTED ST,41.89357111,-87.64782354,POINT (-87.647823540535 41.893571114273)
2018 Oct 31 04:20:00 PM,30,CLEAR,DAYLIGHT,REAR END,$500 OR LESS,FOLLOWING TOO CLOSELY,657,N,OGDEN AVE,41.89399896,-87.65638291,POINT (-87.65638291269 41.89399896428)
2018 Oct 31 03:00:00 PM,30,CLEAR,DAYLIGHT,TURNING,"OVER $1,500",UNABLE TO DETERMINE,650,N,OGDEN AVE,41.89390062,-87.65680344,POINT (-87.656803436204 41.893900619612)
2018 Oct 31 02:20:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,"$501 - $1,500",EQUIPMENT - VEHICLE CONDITION,771,N,MILWAUKEE AVE,41.89591575,-87.65468981,POINT (-87.654689811561 41.895915749684)
2018 Oct 31 12:00:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,"$501 - $1,500",FOLLOWING TOO CLOSELY,1132,W,GRAND AVE,41.89120657,-87.65587219,POINT (-87.655872188348 41.891206570793)
2018 Oct 25 08:00:00 AM,30,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,"OVER $1,500",NOT APPLICABLE,520,N,HALSTED ST,41.89188849,-87.64776463,POINT (-87.647764627549 41.891888485093)
2018 Oct 23 06:15:00 PM,30,CLEAR,DUSK,TURNING,"OVER $1,500",IMPROPER LANE USAGE,628,N,OGDEN AVE,41.89296105,-87.65756973,POINT (-87.657569731542 41.892961048166)
2018 Oct 23 06:00:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,"OVER $1,500",IMPROPER BACKING,738,N,MORGAN ST,41.8958262,-87.65276804,POINT (-87.652768039141 41.895826200956)
2018 Oct 22 03:00:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,"OVER $1,500",UNABLE TO DETERMINE,718,N,MORGAN ST,41.89520367,-87.65275055,POINT (-87.652750552312 41.895203671823)
2018 Oct 22 11:02:00 AM,30,CLEAR,DAYLIGHT,REAR END,"$501 - $1,500",UNABLE TO DETERMINE,527,N,RACINE AVE,41.89200173,-87.65726052,POINT (-87.657260523946 41.892001726209)
2018 Oct 19 11:30:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,"$501 - $1,500",FOLLOWING TOO CLOSELY,1245,W,CHICAGO AVE,41.8960858,-87.65944432,POINT (-87.659444323895 41.896085799755)
2018 Oct 19 08:55:00 PM,15,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,"OVER $1,500",DISREGARDING STOP SIGN,900,W,ERIE ST,41.8934542,-87.65012609,POINT (-87.650126086792 41.893454198523)
2018 Oct 18 05:50:00 PM,30,CLEAR,DAYLIGHT,ANGLE,"OVER $1,500",NOT APPLICABLE,1200,W,GRAND AVE,41.89118941,-87.65747031,POINT (-87.657470309402 41.891189414133)
2018 Oct 18 05:30:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,"OVER $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,1200,W,GRAND AVE,41.89118941,-87.65747031,POINT (-87.657470309402 41.891189414133)
2018 Oct 18 03:15:00 PM,30,CLEAR,DAYLIGHT,REAR END,"OVER $1,500",UNABLE TO DETERMINE,842,W,GRAND AVE,41.8912745,-87.64933185,POINT (-87.649331852226 41.891274496721)
2018 Oct 17 09:09:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,"$501 - $1,500",FOLLOWING TOO CLOSELY,712,N,OGDEN AVE,41.89477227,-87.65607614,POINT (-87.656076139949 41.894772274286)
2018 Oct 16 05:15:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,"$501 - $1,500",UNABLE TO DETERMINE,845,W,SUPERIOR ST,41.89541722,-87.64950636,POINT (-87.649506358184 41.895417222362)
2018 Oct 16 11:51:00 AM,30,CLEAR,DAYLIGHT,ANGLE,"$501 - $1,500",UNABLE TO DETERMINE,530,N,MILWAUKEE AVE,41.89184551,-87.64881784,POINT (-87.648817836369 41.891845509736)
2018 Oct 10 06:20:00 PM,30,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,832,W,GRAND AVE,41.89127925,-87.64885094,POINT (-87.648850938997 41.891279247529)
2018 Oct 09 12:30:00 PM,30,CLEAR,DAYLIGHT,OTHER NONCOLLISION,"$501 - $1,500",UNABLE TO DETERMINE,778,N,MILWAUKEE AVE,41.89579624,-87.6549536,POINT (-87.654953595644 41.895796244484)
2018 Oct 06 01:00:00 PM,30,CLEAR,DAYLIGHT,REAR END,"OVER $1,500",UNABLE TO DETERMINE,1244,W,GRAND AVE,41.89117069,-87.65905274,POINT (-87.659052742264 41.891170693232)
2018 Oct 06 10:42:00 AM,30,CLOUDY/OVERCAST,DAYLIGHT,REAR END,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,613,N,RACINE AVE,41.89266134,-87.65727736,POINT (-87.657277358336 41.892661343566)
2018 Oct 05 10:00:00 AM,25,UNKNOWN,DAYLIGHT,PARKED MOTOR VEHICLE,$500 OR LESS,UNABLE TO DETERMINE,504,N,HALSTED ST,41.8913637,-87.64776847,POINT (-87.647768472913 41.891363703745)
2018 Oct 05 07:15:00 AM,30,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,616,N,OGDEN AVE,41.89296105,-87.65756973,POINT (-87.657569731542 41.892961048166)
2018 Oct 04 05:30:00 PM,30,CLEAR,DAYLIGHT,TURNING,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,726,N,OGDEN AVE,41.89521608,-87.65570058,POINT (-87.655700574595 41.895216075176)
2018 Oct 04 12:45:00 PM,30,CLEAR,DAYLIGHT,REAR END,$500 OR LESS,UNABLE TO DETERMINE,510,N,OGDEN AVE,41.8914627,-87.65885479,POINT (-87.658854789648 41.891462703005)
